alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1739741989.536,elite,4272.0730551582,1726321921.0945,"AS142403 YISU CLOUD LTD",YISUCLOUDLTD-HK,"Kwai Chung",Asia,AS,"Hong Kong",HK,,false,"Yisu Cloud LTD",22.3692,114.132,false,"Yisu Cloud LTD",true,"Tsuen Wan District",success,Asia/Hong_Kong,,1739628796,1739742154.2653,4090,http,http://39.109.113.97:4090,false,2659.0373516083,77477,110837,41.142453561605,39.109.113.97
true,1739742154.2547,transparent,5776.0991241702,1734788553.704,"AS27988 Servicios y Telecomunicaciones S.A.","Servicios y Telecomunicaciones S.A.","Puerto Tirol","South America",SA,Argentina,AR,,false,"Servicios y Telecomunicaciones S.A",-27.3738,-59.0893,false,"EL NAVEGANTE",true,Chaco,success,America/Argentina/Cordoba,3505,1739627227,1739742154.2547,8080,http,http://190.122.88.144:8080,false,3152.2963047028,7173,60849,10.54511775602,190.122.88.144
true,1739741983.4954,elite,4677.271663018,1739715169.995,"AS208972 GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI",gibirnet-tr,Istanbul,Asia,AS,Türkiye,TR,,false,"Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi",41.0145,28.9533,false,"Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi",false,Istanbul,success,Europe/Istanbul,34096,1739715170,1739742154.2496,8080,http,http://149.86.140.70:8080,false,1910.765171051,53,341,13.451776649746,149.86.140.70
true,1739742153.94,elite,7754.3692047706,1710564100.3967,"AS197540 netcup GmbH",netcup-AS,Nuremberg,Europe,EU,Germany,DE,,true,"netcup GmbH",49.4423,11.0191,false,NETCUP-GMBH,true,Bavaria,success,Europe/Berlin,90431,1739477944,1739742153.94,9050,socks4,socks4://188.68.52.220:9050,true,3668.4927940369,2138,148121,1.4228764999102,188.68.52.220
true,1739742153.9285,elite,4566.0756751535,1723398143.4503,"AS49981 WorldStream B.V.",WorldStream,Naaldwijk,Europe,EU,"The Netherlands",NL,,true,"WorldStream B.V.",51.9968,4.2057,false,,true,"South Holland",success,Europe/Amsterdam,2671,1739466841,1739742153.9285,13320,socks4,socks4://212.8.248.229:13320,true,3609.2214584351,207,59618,0.34600919348099,212.8.248.229
true,1739742153.8936,transparent,5448.5528815318,1734171741.2404,"AS136356 Purenet Telecom India Pvt. Ltd.",PURENETT-AS,Jabalpur,Asia,AS,India,IN,,false,"Purenet Telecom India Pvt. Ltd.",23.1701,79.957,false,"Purenet Telecom India Pvt. Ltd.",true,"Madhya Pradesh",success,Asia/Kolkata,482001,1739619698,1739742153.8936,80,http,http://103.91.62.193:80,false,10477.056741714,6288,69777,8.2666140800631,103.91.62.193
true,1739742153.8848,transparent,4865.1102548954,1732678562.4913,"AS7922 Comcast Cable Communications, LLC",COMCAST-7922,Seattle,"North America",NA,"United States",US,,false,"Comcast Cable Communications, LLC",47.4467,-122.2684,false,"Comcast Cable Communications, LLC",false,Washington,success,America/Los_Angeles,98188,1739332775,1739742153.8848,31060,http,http://96.93.124.211:31060,false,469.21229362488,10908,86760,11.168448212311,96.93.124.211
true,1739742153.7795,transparent,4993.5324978707,1735330248.8655,"AS136290 Country Online Services PVT LTD",COUNTRYONLINE-AS-IN,Hyderabad,Asia,AS,India,IN,,false,"Country Online Services PVT LTD",17.3843,78.4583,false,"Country Online Services PVT LTD",false,Telangana,success,Asia/Kolkata,500002,1739564919,1739742153.7795,82,http,http://103.48.69.225:82,false,3537.6460552216,591,43830,1.3304518133315,103.48.69.225
true,1739742153.7613,transparent,4263.6733117856,1739719087.4201,"AS141955 PT Timor Lintas Nusantara",IDNIC-TIMORLINTAS-AS-ID,Kresek,Asia,AS,Indonesia,ID,,false,"PT Timor Lintas Nusantara",-6.21991,106.384,false,,false,"West Java",success,Asia/Jakarta,,1739720606,1739742153.7613,8085,http,http://103.166.158.167:8085,false,2149.7030258179,38,282,11.875,103.166.158.167
true,1739742153.3356,transparent,9570.1063476316,1710787437.048,"AS52468 UFINET PANAMA S.A.","UFINET PANAMA S.A.",Asunción,"South America",SA,Paraguay,PY,,false,"Ufinet Panama S.A.",-25.2869,-57.6511,false,"Ufinet Paraguay S.A",true,Asunción,success,America/Asuncion,,1739386485,1739742153.3356,999,http,http://170.83.243.40:999,false,15503.741979599,4152,356261,1.152011719888,170.83.243.40
true,1739742058.5478,elite,5105.2479252143,1738858138.3409,"AS58800 ACE IT Networks Limited",ACENET-BD,Comilla,Asia,AS,Bangladesh,BD,,false,"ACE IT Networks Limited",23.3522,91.0593,false,,false,Chittagong,success,Asia/Dhaka,3500,1739462989,1739742153.3129,39355,http,http://103.245.109.57:39355,false,3626.5864372253,1178,9325,11.21584309245,103.245.109.57
true,1739742153.1837,transparent,6338.34492091,1739112295.3554,"AS135451 PT Media Alvina Sejati",IDNIC-MASNETWORK-AS-ID,Medan,Asia,AS,Indonesia,ID,,false,"PT Media Alvina Sejati",3.6357,98.6872,false,,false,"North Sumatra",success,Asia/Jakarta,,1739717659,1739742153.1837,8080,http,http://103.96.116.246:8080,false,3575.4547119141,1048,8225,11.301628383479,103.96.116.246
true,1739742103.0952,anonymous,6559.4465830651,1736472893.6365,"AS394684 GOLD DATA USA INC",AS-GOLD,Caracas,"South America",SA,Venezuela,VE,,false,"Gold Data USA Inc",10.4873,-66.8738,false,"Gold Data C.A",true,"Distrito Federal",success,America/Caracas,,1739497467,1739742152.8796,999,http,http://190.52.97.21:999,false,3562.5774860382,3379,34960,8.8134797464723,190.52.97.21
true,1739742152.7948,elite,3293.2561027373,1696984740.1488,"AS6181 Cincinnati Bell Telephone Company LLC",FUSE-NET,Cincinnati,"North America",NA,"United States",US,,false,"Fuse Internet Access",39.1638,-84.4517,false,"Maximum Communications",true,Ohio,success,America/New_York,45212,1739320746,1739742152.7948,36181,socks4,socks4://69.61.200.104:36181,true,4873.2562065125,153179,257928,37.26012935805,69.61.200.104
true,1739742152.7928,transparent,5805.7407894857,1735348485.4564,"AS151993 PT Wifian Global Nusantara",IDNIC-WGN-AS-ID,Karawang,Asia,AS,Indonesia,ID,,false,"PT Wifian Global Nusantara",-6.27868,107.429,true,"PT Wifian Global Nusantara",false,"West Java",success,Asia/Jakarta,,1739321301,1739742152.7928,8080,http,http://203.111.253.134:8080,false,1410.2561473846,3485,44389,7.2795254208965,203.111.253.134
true,1739742152.7913,transparent,6472.2324685188,1710551902.6711,"AS52468 UFINET PANAMA S.A.","UFINET PANAMA S.A.","Guatemala City","North America",NA,Guatemala,GT,,false,"Ufinet Panama S.A.",14.6419,-90.5133,false,"UFINET Guatemala S. A",true,Guatemala,success,America/Guatemala,01014,1739317361,1739742152.7913,999,http,http://167.250.222.233:999,false,3538.3038520813,33717,404002,7.7028870119871,167.250.222.233
true,1739742152.7674,elite,2940.950234731,1739484313.6268,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1739502655,1739742152.7674,22341,socks4,socks4://67.43.236.18:22341,true,3984.1260910034,3,1076,0.27803521779425,67.43.236.18
true,1739742152.5071,transparent,6534.8040526438,1726234992.8512,"AS202561 High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.",highspeed,Antakya,Asia,AS,Türkiye,TR,,false,"High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.",36.2073,36.1619,true,"High Speed Telekomunikasyon ve Haberlesme Hizmetleri Ltd Sti",true,Hatay,success,Europe/Istanbul,31000,1739552069,1739742152.5071,8080,http,http://38.156.72.48:8080,false,2107.3322296143,9170,180767,4.8279166249862,38.156.72.48
true,1739742152.4924,transparent,5906.7253822105,1739382191.5812,"AS23700 Linknet-Fastnet ASN",Fastnet-AS-ID,Bekasi,Asia,AS,Indonesia,ID,,false,"PT. First Media, Tbk",-6.2352,106.9922,false,,false,"West Java",success,Asia/Jakarta,17530,1739382192,1739742152.4924,8080,http,http://139.228.4.42:8080,false,6604.9990653992,722,4590,13.59186746988,139.228.4.42
true,1739742152.4712,transparent,9901.4888511764,1739380433.1148,,,Belgrade,Europe,EU,Serbia,RS,"New Belgrade",false,"TELEKOM SRBIJA a.d",44.8178,20.4124,false,"TELEKOM SRBIJA a.d",false,"Central Serbia",success,Europe/Belgrade,,1739382945,1739742152.4712,3128,http,http://178.250.136.160:3128,false,3264.7273540497,180,4819,3.6007201440288,178.250.136.160
true,1739742152.419,transparent,5819.9299772413,1732719937.4097,"AS4761 INDOSAT Internet Network Provider",INDOSAT-INP-AP,Pagatan,Asia,AS,Indonesia,ID,,false,"PT. INDOSAT Tbk",-3.6075,115.938,false,"IOH B2B",true,"South Kalimantan",success,Asia/Makassar,,1739375112,1739742152.419,3128,http,http://114.9.26.194:3128,false,7269.9863910675,5928,89774,6.194227915822,114.9.26.194
true,1739742152.3421,transparent,6648.5072471786,1714310385.6471,"AS59463 VISION 2008 Ltd.",NESEBAR-LAN-AS,"Sunny Beach",Europe,EU,Bulgaria,BG,,false,"ComNet Bulgaria Ltd.",42.6918,27.7168,false,"Comnet Bulgaria Holding Ltd.",true,Burgas,success,Europe/Sofia,8237,1739317386,1739742152.3421,8080,http,http://84.54.191.22:8080,false,2412.4262332916,26165,387484,6.325411157769,84.54.191.22
true,1739742152.2813,elite,5643.0998292638,1738856738.8582,"AS45766 Triangle Services Limited.",TRIANGLESERVICES,Bhātāra,Asia,AS,Bangladesh,BD,,false,"Md Ziaul Huque",23.8,90.45,false,,false,"Dhaka Division",success,Asia/Dhaka,1212,1739461603,1739742152.2813,11596,http,http://103.113.152.62:11596,false,3702.0328044891,1691,11299,13.017705927637,103.113.152.62
true,1739742152.1964,transparent,6446.4549611376,1739071011.5838,"AS265622 WISTARIP S DE RL DE CV","WISTARIP S DE RL DE CV","Río Grande","North America",NA,Mexico,MX,,false,"Wistarip S De RL De CV",23.7803,-103.2363,false,,false,Zacatecas,success,America/Mexico_City,98420,1739676750,1739742152.1964,999,http,http://200.110.104.3:999,false,2174.9265193939,955,8873,9.7171347171347,200.110.104.3
true,1739710799.9909,elite,568.36602723189,1730512572.4542,"AS46997 Black Mesa Corporation",NATOLAB,"San Jose","North America",NA,"United States",US,,false,,37.3387,-121.8852,false,"Black Mesa Corporation",true,California,success,America/Los_Angeles,,1739317275,1739742151.9865,80,http,http://23.247.137.142:80,false,314.29934501648,59291,29918,66.463025031107,23.247.137.142
true,1739742110.3139,transparent,4566.8153137909,1737969920.4157,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,Guangzhou,Asia,AS,China,CN,,false,"China Mobile",23.1317,113.266,true,"China Mobile Communications Corporation",true,Guangdong,success,Asia/Shanghai,510000,1739317422,1739742151.9588,4999,http,http://36.136.27.2:4999,false,1742.5367832184,10553,11130,48.669464557487,36.136.27.2
true,1739742151.5318,transparent,5620.1088526478,1739714214.6373,"AS45758 Triple T Broadband Public Company Limited",TTBP-AS-AP,Lopburi,Asia,AS,Thailand,TH,,false,"Triple T Broadband Public Company Limited",14.8042,100.6503,false,"Triple T Broadband Public Company Limited",false,Lopburi,success,Asia/Bangkok,15000,1739714218,1739742151.5318,8080,http,http://223.206.195.172:8080,false,774.67751502991,73,335,17.892156862745,223.206.195.172
true,1739741940.8378,elite,764.60653543472,1739638725.0582,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1739741942,1739742151.2543,17765,http,http://67.43.236.18:17765,false,883.82530212402,4,332,1.1904761904762,67.43.236.18
